Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Gaosheng,Luxury Goods,$61.22,7,In-Store,5,2,2,Low,Very Sensitive,1,7,High,Desktop,Debit Card,8/5/2024,TRUE,TRUE,Need-based,No Preference,5
80-684-5072,32,Male,High,Married,High School,Middle,Rokytne,Animal Feed,$79.81,4,Mixed,5,5,0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,7/16/2024,FALSE,TRUE,Wants-based,Standard,14
23-302-7502,30,Female,High,Widowed,High School,High,Alameda,Health Care,$58.51,2,Online,4,4,0.5,None,Not Sensitive,0,4,Medium,Desktop,PayPal,12/14/2024,TRUE,TRUE,Planned,No Preference,14
90-069-8934,40,Male,High,Divorced,Master's,High,Dhankutā,Hotels,$109.29,3,Online,3,4,0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,8/11/2024,FALSE,TRUE,Wants-based,Express,11
45-073-7243,37,Male,High,Single,Bachelor's,High,Jindong,Furniture,$356.45,6,Mixed,5,5,2,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,10/18/2024,FALSE,TRUE,Planned,Standard,8
89-883-2101,38,Female,Middle,Divorced,Bachelor's,High,Ngeru,Mobile Accessories,$236.99,10,Mixed,2,4,0,High,Very Sensitive,0,8,None,Tablet,PayPal,12/9/2024,TRUE,TRUE,Impulsive,No Preference,13
00-477-9449,36,Male,Middle,Widowed,Bachelor's,High,White Rock,Packages),$454.39,10,In-Store,2,4,2,Medium,Not Sensitive,0,3,None,Desktop,Other,7/23/2024,FALSE,TRUE,Impulsive,Standard,3
67-159-7366,29,Female,High,Widowed,Bachelor's,Middle,Monastyrshchina,Electronics,$490.75,10,In-Store,2,4,1,None,Very Sensitive,1,4,Low,Smartphone,Debit Card,7/8/2024,FALSE,FALSE,Wants-based,Standard,13
85-691-4293,21,Female,Middle,Widowed,High School,Middle,Pangkalanbunut,Software & Apps,$463.07,7,Mixed,4,2,0,None,Very Sensitive,1,2,Medium,Smartphone,PayPal,7/23/2024,TRUE,FALSE,Wants-based,No Preference,11
56-085-0464,36,Female,High,Married,Master's,High,Lederaba,Baby Products,$56.74,5,Online,5,1,0,Medium,Very Sensitive,0,6,None,Smartphone,Other,7/31/2024,TRUE,FALSE,Impulsive,Express,7
33-264-2822,38,Male,High,Divorced,Bachelor's,Middle,Lugo,Toys & Games,$371.32,7,In-Store,4,4,0.7,Medium,Not Sensitive,2,1,None,Tablet,Debit Card,2/25/2024,TRUE,TRUE,Impulsive,Standard,6
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,São Roque,Software & Apps,$461.00,7,Online,2,4,1,High,Not Sensitive,0,8,Low,Tablet,Cash,7/10/2024,FALSE,TRUE,Wants-based,Standard,9
04-349-6759,33,Female,High,Married,Bachelor's,High,Banī Khaddāsh,Food & Beverages,$253.37,6,In-Store,4,1,1,None,Very Sensitive,2,10,High,Tablet,Other,12/25/2024,TRUE,FALSE,Impulsive,Standard,8
21-755-8745,37,Male,High,Widowed,High School,High,Montpellier,Packages),$136.53,3,Mixed,2,4,2,High,Not Sensitive,1,3,High,Smartphone,PayPal,5/31/2024,TRUE,TRUE,Planned,Standard,10
29-625-7057,31,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,$489.05,10,Online,5,3,0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,9/4/2024,TRUE,TRUE,Planned,Standard,7
58-623-8404,50,Male,High,Single,Master's,High,Pasirhuni,Electronics,$81.91,10,In-Store,3,4,1,Medium,Very Sensitive,0,4,None,Desktop,Debit Card,7/24/2024,FALSE,TRUE,Need-based,Express,2
56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Glendale,Arts & Crafts,$135.80,2,In-Store,2,5,1,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,11/16/2024,FALSE,TRUE,Planned,No Preference,9
25-839-8670,45,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,$382.24,12,In-Store,1,5,1,High,Very Sensitive,1,4,High,Tablet,PayPal,7/6/2024,TRUE,TRUE,Planned,Standard,3
89-194-0596,33,Female,High,Married,Bachelor's,Middle,Marseille,Gardening & Outdoors,$354.70,5,Online,4,2,0,None,Very Sensitive,2,7,None,Smartphone,Other,2/10/2024,TRUE,FALSE,Planned,Express,12
55-163-1389,24,Male,High,Divorced,Bachelor's,High,Nasielsk,Mobile Accessories,$433.82,6,Online,3,2,1,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,6/29/2024,FALSE,TRUE,Planned,Express,10
28-225-4286,39,Genderfluid,High,Married,Bachelor's,Middle,Paris 06,Mobile Accessories,$282.13,5,Mixed,4,5,1,None,Somewhat Sensitive,1,2,None,Tablet,Other,1/26/2024,TRUE,FALSE,Need-based,Standard,9
14-305-8712,48,Male,High,Widowed,High School,Middle,Bronnitsy,Mobile Accessories,$454.38,10,Online,3,4,0,None,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,6/15/2024,TRUE,FALSE,Impulsive,No Preference,7
85-738-6864,25,Male,Middle,Married,High School,High,Inayauan,Mobile Accessories,$138.88,7,In-Store,2,4,1,None,Not Sensitive,1,3,None,Tablet,Cash,6/8/2024,TRUE,FALSE,Planned,No Preference,4
17-198-5155,30,Female,High,Single,Bachelor's,High,Qianjin,Books,$52.34,6,In-Store,3,4,1,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,5/21/2024,TRUE,TRUE,Planned,Express,13
15-354-9904,34,Male,Middle,Single,Bachelor's,High,Bagahanlad,Groceries,$338.20,7,Online,3,5,0,None,Not Sensitive,1,9,Medium,Tablet,Other,9/1/2024,TRUE,FALSE,Wants-based,Standard,7
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,$263.15,3,In-Store,1,5,1,High,Somewhat Sensitive,1,10,High,Tablet,Other,3/4/2024,TRUE,FALSE,Impulsive,Express,10
03-950-6074,36,Female,Middle,Married,Master's,Middle,Strabychovo,Software & Apps,$371.58,2,Mixed,2,1,2,High,Not Sensitive,0,10,None,Smartphone,Cash,9/13/2024,TRUE,TRUE,Wants-based,No Preference,11
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,$353.40,2,Online,2,3,2,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,12/6/2024,FALSE,TRUE,Impulsive,No Preference,3
57-989-1487,46,Female,Middle,Divorced,High School,High,Oeoh,Software & Apps,$329.41,5,In-Store,5,3,0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,10/21/2024,TRUE,TRUE,Need-based,No Preference,2
07-816-2673,46,Female,Middle,Married,Master's,Middle,Topol’noye,Food & Beverages,$54.46,5,Online,4,5,1,High,Not Sensitive,1,1,Low,Tablet,Other,11/17/2024,FALSE,FALSE,Impulsive,Standard,1
70-761-3550,43,Male,High,Widowed,Master's,Middle,Kovářov,Books,$257.12,8,Online,2,1,0,High,Not Sensitive,2,1,High,Smartphone,Other,7/24/2024,TRUE,FALSE,Impulsive,No Preference,11
38-242-3251,43,Male,High,Divorced,Bachelor's,Middle,Majdal Banī Fāḑil,Arts & Crafts,$293.04,11,In-Store,4,2,1,None,Very Sensitive,1,3,Low,Desktop,PayPal,3/3/2024,TRUE,FALSE,Planned,Standard,6
95-525-0842,34,Male,High,Single,Master's,High,Delta del Tigre,Books,$110.40,12,Mixed,5,1,2,None,Somewhat Sensitive,1,3,Medium,Tablet,Debit Card,11/13/2024,FALSE,FALSE,Need-based,Standard,12
37-101-4922,42,Female,Middle,Married,Master's,High,Santa Cruz La Laguna,Mobile Accessories,$76.27,4,In-Store,2,3,0,None,Not Sensitive,0,8,Medium,Smartphone,Credit Card,12/24/2024,TRUE,FALSE,Wants-based,Standard,10
37-128-5425,40,Female,High,Widowed,Bachelor's,Middle,Manchester,Toys & Games,$392.08,6,Online,2,5,1,None,Very Sensitive,2,7,High,Tablet,Other,8/4/2024,TRUE,TRUE,Need-based,Express,6
27-439-9545,25,Female,High,Married,Bachelor's,High,Norrköping,Toys & Games,$51.22,6,Online,2,1,0,None,Very Sensitive,1,5,Medium,Tablet,Cash,8/25/2024,TRUE,TRUE,Planned,Standard,5
37-126-7954,38,Male,Middle,Divorced,Bachelor's,High,Sośno,Clothing,$227.57,2,Online,1,2,0,High,Somewhat Sensitive,1,6,None,Tablet,PayPal,8/17/2024,FALSE,TRUE,Wants-based,No Preference,14
82-990-0504,46,Female,Middle,Widowed,Bachelor's,Middle,Pélla,Groceries,$378.87,7,Online,1,2,0,None,Very Sensitive,1,2,Low,Tablet,PayPal,4/1/2024,TRUE,FALSE,Planned,No Preference,5
21-734-0212,24,Female,Middle,Widowed,High School,High,Namur,Beauty & Personal Care,$423.92,8,Mixed,3,1,2,Low,Somewhat Sensitive,0,9,High,Tablet,Credit Card,8/24/2024,FALSE,TRUE,Need-based,Standard,8
76-148-9413,43,Non-binary,High,Widowed,Master's,Middle,Benevides,Arts & Crafts,$111.24,9,Mixed,5,2,0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,8/6/2024,TRUE,FALSE,Need-based,No Preference,12
53-639-3774,37,Female,Middle,Single,Bachelor's,Middle,Qinghaihu,Travel & Leisure (Flights,$299.31,7,Mixed,2,4,1,Medium,Very Sensitive,2,3,None,Desktop,Debit Card,2/1/2024,TRUE,FALSE,Need-based,Express,3
20-817-9584,42,Male,Middle,Widowed,Master's,Middle,Alfeizerão,Animal Feed,$169.28,7,Mixed,4,4,1,None,Somewhat Sensitive,2,1,Low,Tablet,Cash,6/17/2024,TRUE,TRUE,Impulsive,No Preference,6
18-655-3670,29,Male,Middle,Widowed,High School,High,Prostřední Bečva,Office Supplies,$449.13,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,6/12/2024,FALSE,FALSE,Planned,No Preference,14
72-431-5021,35,Female,High,Married,Master's,High,Oeiras,Animal Feed,$427.48,6,Online,4,2,0,Medium,Not Sensitive,1,1,Low,Smartphone,Debit Card,12/16/2024,TRUE,FALSE,Impulsive,Standard,11
07-479-3919,27,Female,Middle,Single,High School,High,Kýthnos,Sports & Outdoors,$171.61,3,Online,3,1,2,Low,Very Sensitive,1,6,High,Desktop,Credit Card,10/31/2024,TRUE,FALSE,Planned,Express,8
17-032-6274,40,Female,High,Married,Bachelor's,High,Rizal,Books,$240.28,3,Online,3,5,2,High,Not Sensitive,2,7,Medium,Tablet,Cash,12/7/2024,TRUE,TRUE,Impulsive,Standard,4
64-166-9097,34,Female,High,Single,High School,High,Fullerton,Furniture,$310.17,6,In-Store,2,3,2,Medium,Very Sensitive,0,10,None,Smartphone,Debit Card,2/24/2024,FALSE,FALSE,Wants-based,No Preference,13
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao,Hotels,$166.00,10,Online,5,3,0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,6/11/2024,FALSE,FALSE,Impulsive,Express,5
39-636-5871,38,Male,High,Divorced,Bachelor's,High,Bilice,Baby Products,$362.01,2,In-Store,2,4,1,None,Somewhat Sensitive,2,1,Medium,Tablet,Debit Card,11/24/2024,FALSE,FALSE,Impulsive,Express,1
71-667-2334,33,Polygender,High,Married,Bachelor's,Middle,Isla Verde,Travel & Leisure (Flights,$348.50,3,Mixed,2,3,2,None,Not Sensitive,0,6,Medium,Smartphone,Debit Card,7/9/2024,FALSE,FALSE,Planned,No Preference,8
35-192-9050,32,Female,Middle,Married,Bachelor's,High,Hunkuyi,Animal Feed,$395.97,9,In-Store,1,4,0,Medium,Very Sensitive,1,6,Low,Tablet,Debit Card,8/18/2024,TRUE,TRUE,Wants-based,Standard,1
91-440-0011,50,Female,Middle,Widowed,High School,Middle,Shiree,Sports & Outdoors,$474.99,9,Online,2,4,1,None,Somewhat Sensitive,0,8,High,Desktop,Credit Card,7/10/2024,TRUE,FALSE,Planned,Standard,5
20-830-4758,35,Female,Middle,Widowed,High School,Middle,Strezhevoy,Luxury Goods,$286.43,4,Mixed,1,3,0,High,Very Sensitive,2,3,None,Desktop,Cash,7/12/2024,TRUE,FALSE,Wants-based,Express,14
84-337-1016,19,Genderfluid,High,Widowed,High School,High,Longxing,Health Care,$333.32,8,Online,1,5,0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,10/5/2024,TRUE,FALSE,Planned,No Preference,3
09-346-4992,46,Bigender,High,Single,Master's,High,Jesús Menéndez,Electronics,$223.47,9,Mixed,2,1,1,High,Somewhat Sensitive,0,2,None,Tablet,Debit Card,9/20/2024,TRUE,TRUE,Need-based,Standard,8
75-083-3608,23,Male,Middle,Divorced,Master's,Middle,Hongguang,Sports & Outdoors,$414.83,2,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,7/16/2024,FALSE,FALSE,Planned,Express,8
29-779-7209,34,Female,High,Widowed,Master's,High,Pilaya,Books,$391.38,5,In-Store,5,2,2,Low,Not Sensitive,0,7,Low,Tablet,Other,4/2/2024,FALSE,FALSE,Need-based,No Preference,8
12-409-5166,48,Male,Middle,Divorced,Bachelor's,High,Camp Ithier,Furniture,$368.40,11,Online,2,5,1,High,Not Sensitive,0,3,High,Desktop,Credit Card,6/21/2024,FALSE,FALSE,Need-based,No Preference,13
07-024-4995,27,Bigender,Middle,Widowed,High School,Middle,Holboo,Furniture,$328.36,11,In-Store,1,4,2,High,Very Sensitive,0,4,None,Tablet,Cash,3/11/2024,FALSE,TRUE,Wants-based,Express,4
74-478-5950,37,Female,Middle,Divorced,Bachelor's,Middle,Luxi,Home Appliances,$424.39,9,Mixed,3,1,1,High,Somewhat Sensitive,0,7,Low,Smartphone,Credit Card,2/26/2024,TRUE,FALSE,Wants-based,No Preference,13
31-395-1286,47,Male,High,Married,High School,High,Ostashkov,Health Supplements,$197.12,10,In-Store,4,4,0,Low,Somewhat Sensitive,1,1,Medium,Tablet,Other,6/14/2024,TRUE,TRUE,Wants-based,Standard,10
60-838-4334,45,Male,High,Single,Bachelor's,High,Hongshanzui,Books,$454.57,9,Mixed,2,5,1,Low,Somewhat Sensitive,0,1,Medium,Smartphone,Debit Card,3/24/2024,TRUE,TRUE,Wants-based,Express,1
71-197-8227,37,Male,Middle,Divorced,High School,High,Tocoa,Electronics,$298.38,4,Mixed,3,4,2,High,Very Sensitive,0,2,Low,Tablet,Cash,4/27/2024,FALSE,TRUE,Need-based,Standard,3
15-530-3861,36,Male,High,Divorced,High School,High,Bayan Tuohai,Clothing,$111.70,6,Online,4,5,0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,11/7/2024,FALSE,FALSE,Planned,Standard,7
30-567-4471,34,Male,Middle,Married,Bachelor's,Middle,Parumasan,Clothing,$373.69,10,Online,3,2,2,Medium,Not Sensitive,1,8,None,Tablet,Credit Card,12/4/2024,FALSE,TRUE,Impulsive,Express,14
04-465-1819,37,Male,High,Widowed,Master's,Middle,Karpogory,Jewelry & Accessories,$354.87,5,In-Store,1,1,0,None,Not Sensitive,2,4,None,Desktop,Cash,4/18/2024,FALSE,TRUE,Planned,Express,12
69-692-0614,18,Female,Middle,Widowed,Bachelor's,High,Shāhzādpur,Mobile Accessories,$214.48,2,Online,4,2,2,None,Very Sensitive,1,3,None,Tablet,Cash,4/21/2024,TRUE,TRUE,Wants-based,Express,2
12-839-8066,20,Male,High,Divorced,Bachelor's,Middle,Muaratiga,Software & Apps,$399.58,6,In-Store,3,4,0,None,Very Sensitive,1,8,Low,Tablet,Other,9/25/2024,TRUE,FALSE,Need-based,Standard,7
05-465-8765,27,Female,High,Widowed,High School,Middle,Gjegjan,Luxury Goods,$380.99,7,Mixed,1,2,1,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,12/9/2024,TRUE,TRUE,Need-based,No Preference,8
81-580-3810,36,Male,Middle,Married,High School,High,Créteil,Food & Beverages,$79.00,10,Online,1,2,1,Medium,Very Sensitive,2,6,Low,Smartphone,Cash,9/14/2024,FALSE,TRUE,Planned,Standard,7
74-353-6312,46,Female,Middle,Married,Bachelor's,Middle,Pameungpeuk,Groceries,$113.88,2,Online,5,2,2,Medium,Not Sensitive,2,4,High,Tablet,PayPal,3/29/2024,FALSE,FALSE,Wants-based,Express,9
78-824-1887,26,Male,Middle,Married,High School,Middle,Junshan,Travel & Leisure (Flights,$121.57,4,Mixed,1,5,0,High,Not Sensitive,0,4,High,Desktop,Other,6/6/2024,FALSE,TRUE,Impulsive,No Preference,13
31-218-0024,21,Female,High,Divorced,High School,Middle,Lewotola,Health Supplements,$215.54,11,Online,3,1,2,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,4/8/2024,TRUE,TRUE,Planned,No Preference,10
15-711-4107,43,Male,High,Married,Bachelor's,High,Laocheng,Furniture,$87.03,10,Mixed,1,1,0,Low,Very Sensitive,1,5,High,Desktop,PayPal,8/11/2024,FALSE,TRUE,Need-based,No Preference,7
76-672-1193,19,Male,High,Divorced,High School,High,Guacarí,Travel & Leisure (Flights,$111.75,4,In-Store,1,4,0,High,Not Sensitive,1,6,High,Tablet,Debit Card,10/10/2024,FALSE,TRUE,Impulsive,Standard,8
46-503-5589,41,Female,High,Widowed,Master's,High,Sancang,Office Supplies,$136.20,2,Mixed,3,2,2,Low,Not Sensitive,0,1,High,Tablet,PayPal,6/15/2024,TRUE,TRUE,Need-based,Express,9
87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,$439.31,4,In-Store,3,2,1,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,8/11/2024,FALSE,TRUE,Wants-based,No Preference,7
30-520-8656,19,Female,Middle,Married,Bachelor's,Middle,San Patricio,Health Care,$194.93,9,Online,4,4,1,High,Somewhat Sensitive,0,4,None,Tablet,Other,3/28/2024,TRUE,TRUE,Impulsive,No Preference,5
36-323-3504,29,Male,Middle,Widowed,Master's,High,Fengtai,Food & Beverages,$377.67,8,Online,5,3,0,None,Very Sensitive,2,1,High,Desktop,PayPal,5/13/2024,TRUE,FALSE,Need-based,No Preference,14
93-810-4051,26,Agender,High,Single,Master's,High,Ḑawrān ad Daydah,Beauty & Personal Care,$108.61,10,In-Store,3,2,0,None,Very Sensitive,0,3,Low,Smartphone,Cash,11/23/2024,TRUE,TRUE,Need-based,No Preference,14
66-515-3648,20,Female,Middle,Married,Bachelor's,Middle,Magdalena,Health Care,$366.77,7,Mixed,4,3,2,Low,Not Sensitive,0,9,None,Smartphone,Debit Card,9/18/2024,FALSE,FALSE,Impulsive,Standard,1
09-216-1957,31,Female,High,Divorced,Master's,Middle,Leśnica,Jewelry & Accessories,$178.04,5,In-Store,5,1,2,Medium,Somewhat Sensitive,0,5,High,Tablet,Credit Card,7/16/2024,FALSE,FALSE,Need-based,No Preference,12
23-253-2565,23,Female,High,Divorced,High School,High,Hinlayagan Ilaud,Toys & Games,$461.09,8,Online,4,1,0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,8/3/2024,TRUE,FALSE,Need-based,No Preference,8
74-509-4985,19,Female,High,Single,High School,Middle,Forshaga,Hotels,$211.16,5,In-Store,2,3,1,High,Very Sensitive,0,3,None,Smartphone,PayPal,6/28/2024,FALSE,FALSE,Planned,Standard,2
05-857-1572,23,Female,Middle,Widowed,Bachelor's,High,Rakszawa,Animal Feed,$421.95,8,Mixed,3,5,0,Medium,Not Sensitive,1,1,None,Smartphone,Other,3/18/2024,FALSE,TRUE,Need-based,No Preference,7
26-521-8328,49,Female,Middle,Divorced,Bachelor's,High,Fengjiang,Furniture,$378.59,5,Online,2,1,0,None,Somewhat Sensitive,0,4,High,Desktop,Other,10/15/2024,FALSE,FALSE,Wants-based,No Preference,14
31-147-6197,23,Non-binary,High,Divorced,High School,High,Jiangcun,Office Supplies,$268.93,2,Mixed,5,5,1,Medium,Very Sensitive,1,3,None,Tablet,Debit Card,11/23/2024,FALSE,FALSE,Impulsive,Express,8
90-093-0469,42,Male,Middle,Divorced,Bachelor's,High,Ōkuchi,Health Care,$444.87,11,Online,5,4,0,Medium,Not Sensitive,1,8,Low,Desktop,Other,11/29/2024,FALSE,FALSE,Wants-based,No Preference,7
38-935-1865,18,Female,High,Widowed,Bachelor's,High,Novoukrainskiy,Beauty & Personal Care,$160.82,7,In-Store,3,1,1,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,7/9/2024,TRUE,TRUE,Wants-based,No Preference,3
75-953-8663,35,Male,High,Single,Master's,Middle,Acobambilla,Hotels,$494.18,6,Mixed,4,5,1,Medium,Not Sensitive,1,2,None,Desktop,Cash,8/3/2024,FALSE,FALSE,Need-based,Standard,14
38-478-2681,22,Male,Middle,Single,Bachelor's,Middle,Kyonju,Home Appliances,$177.05,5,Online,3,1,1,None,Somewhat Sensitive,2,1,Low,Tablet,Cash,12/4/2024,TRUE,TRUE,Impulsive,Standard,1
70-895-5298,28,Female,Middle,Married,Master's,High,Pomar,Food & Beverages,$450.66,7,In-Store,2,5,0,High,Somewhat Sensitive,2,4,Medium,Tablet,Credit Card,6/13/2024,FALSE,TRUE,Need-based,No Preference,9
02-653-5884,42,Female,High,Married,Bachelor's,Middle,Zalţan,Arts & Crafts,$164.27,6,Online,5,3,2,High,Not Sensitive,2,7,Low,Desktop,PayPal,7/13/2024,TRUE,FALSE,Wants-based,No Preference,14
11-719-8800,37,Female,Middle,Widowed,Master's,High,Trélazé,Food & Beverages,$346.36,12,Mixed,4,5,0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,9/4/2024,FALSE,FALSE,Need-based,Standard,14
59-355-5251,33,Female,Middle,Widowed,High School,High,Messina,Animal Feed,$377.77,9,Mixed,4,2,1,Medium,Not Sensitive,1,5,Medium,Tablet,Credit Card,8/26/2024,TRUE,TRUE,Impulsive,Standard,3
82-572-9091,46,Female,Middle,Widowed,High School,Middle,Mrągowo,Travel & Leisure (Flights,$163.41,2,In-Store,5,5,2,Low,Not Sensitive,1,8,High,Desktop,Other,2/25/2024,TRUE,TRUE,Need-based,Express,4
86-044-1071,30,Female,Middle,Divorced,Master's,Middle,Ngawi,Hotels,$467.58,10,Mixed,1,2,0,None,Somewhat Sensitive,1,6,Low,Desktop,PayPal,4/15/2024,TRUE,TRUE,Wants-based,Standard,7
08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Oslo,Books,$247.51,10,Mixed,2,1,2,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,7/1/2024,TRUE,FALSE,Impulsive,Standard,2
70-108-1493,25,Female,Middle,Single,High School,High,Dobrica,Office Supplies,$365.10,3,In-Store,2,3,0,None,Not Sensitive,1,3,High,Desktop,Debit Card,8/30/2024,FALSE,TRUE,Wants-based,No Preference,1
46-230-8307,38,Female,High,Single,Master's,Middle,La Roche-sur-Yon,Health Care,$485.42,5,Online,1,2,2,High,Somewhat Sensitive,1,6,High,Desktop,Other,11/13/2024,TRUE,FALSE,Wants-based,No Preference,4
74-431-0242,41,Female,Middle,Widowed,Bachelor's,High,Point Pedro,Health Care,$250.54,4,In-Store,3,3,1,High,Not Sensitive,2,10,None,Desktop,Credit Card,12/27/2024,FALSE,FALSE,Wants-based,No Preference,3
78-272-6417,49,Female,Middle,Divorced,High School,High,Marseille,Jewelry & Accessories,$163.14,5,Mixed,5,4,0,Low,Somewhat Sensitive,1,2,None,Desktop,Debit Card,8/7/2024,TRUE,TRUE,Planned,No Preference,1
13-792-4356,21,Male,High,Divorced,Bachelor's,Middle,Tianbao,Gardening & Outdoors,$162.31,8,In-Store,5,1,1,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,10/5/2024,FALSE,FALSE,Need-based,No Preference,11
04-563-9091,37,Male,Middle,Widowed,Master's,High,Puqian,Office Supplies,$328.21,7,Mixed,5,5,2,Low,Not Sensitive,2,2,Low,Smartphone,Credit Card,2/14/2024,FALSE,FALSE,Need-based,No Preference,12
